,roaster,coffee_name,cost,roast_level,location,process,varietals,tasting_notes,rating
0,PT's,Flatlander Signature Blend,17.35,Medium Roast,"Topeka, KS","Washed, Pulped ",Various,"Flatlander features a bittersweet chocolate aroma with a round body, notes of caramel, and a tangerine sweetness. It has a pleasant finish of roasted almonds and chocolate.",0
1,Joe,The Amsterdam,17.35,Medium Roast,"New York, NY",,Red Catuai,,0
2,Red Bay,MotherLand,22.4,Medium Roast,"Oakland, CA",WashedSub RegionRutana Province ProducerNdago Cooperative Harvest TimeTBCVarietyBourbon ,Bourbon ,"Named for a beautiful hill near the Gitaba washing station, Ndago Coffee cherries grow in soil with a rich mineral content.  About 40 farmers harvest cherries of these heritage plants, processed through the award-winning washing station, a three-time Cup of Excellence winner. Beyond the successful cherries processed there is the single fermentation style, the washing station is known for the quality of its water. ",0
3,Cuvee,Emporium House Blend,17.35,Medium Roast,"Austin, TX","Washed, Pulped ","Bourbon, Pacas, Caturra, Pache & Catuai","An Emporium is a market place or trading center, which in a way describes who we are. We bring the best coffee from all over the world to our roastery in Austin, TX. We blend together several of our single origin selections to create this coffee that is complex and approachable, just the way a great blend should be and reason enough to make it our house favorite.",0
4,Huckleberry,Bom Senso,17.4,Medium Roast,"Denver, CO",,"Bourbon, Mundo Novo","Bom Senso is a Trade-exclusive, traditional coffee. We source straightforward coffees from Latin America, and roast them a bit darker (for Huckleberry, at least) to create a big, bold cup for the dark roast lovers out there.",0
5,Atomic,Space Cadet,17.35,Medium Roast,"Salem, MA","WashedElevation1200VarietyCaturra, Typica, Heirloom","Caturra, Typica, Heirloom","A long time ago in a galaxy far, far away... the perfect blend of coffees for cold brew was born. But a Space Cadet isn’t bound by the rules of any world but their own, so you can brew this blend up however you’d like! Our team tastes notes of clementine, nougat and burnt sugar.",0
6,Caffe Vita,Bistro Blend,17.35,Medium Roast,"Seattle, WA","Washed, ",Bourbon and Typica,"A blend of South American, East African and Indonesian coffees with a medium roast profile creating an approachable, balanced, and nuanced cup. Grown at altitudes from 1000-2200 meters.",0
7,Cuvee,West Pole Dark Roast,17.35,Medium-Dark Roast,"Austin, TX","WashedSub RegionHuilaElevation1900VarietyCaturra, Colombia","Caturra, Colombia","Most people’s initial encounter with a dark roast is a cup full of smoke and ash, but we think coffee should be more than that. We strive to maintain distinctive origin flavors while softening the acidity and highlighting molasses and spice characteristics. This coffee is a shining example of our craft, providing enough roast development to please those who look for deep character, but applied with a delicate hand to still deliver a true coffee experience.",0
8,Atomic,House Blend,17.35,Medium Roast,"Salem, MA","WashedElevation1200VarietyBourbon, Typica, Catuai, Caturra","Bourbon, Typica, Catuai, Caturra","A well balanced, medium roast blend of Honduras and Nicaragua exhibiting milk chocolate and nutty tones with a bit of acidity and a smooth finish.",0
9,PT's,Ad Astra Signature Blend,17.35,Extra-Dark Roast,"Topeka, KS","Washed, Pulped ",Various,"Ad Astra is a very heavy, dark roasted blend of high-density coffees. Balance the sugars of a sweet dessert with Ad Astra's hints of bittersweet chocolate and heavy body. Dark chocolate is prominent throughout, marked by a cola-like sweetness and lingering tone of caramelized sugar.",0
10,Greater Goods,Good Vibes (Brasil),17.35,Medium Roast,"Austin, TX",,Icatu and Yellow & Red Catuai ,"The Beach Boys made Good Vibrations famous, but you don't need to be at the beach to pick up good vibes. In fact, if you get yourself a bag of this rich, full-bodied Brazilian coffee, you can get Good Vibes every time you set foot in your kitchen. Talk about excitations!",0
11,Atomic,Diesel,17.35,Medium-Dark Roast,"Salem, MA","WashedElevation1000VarietyBourbon, Typica, Catuai, Catimor","Bourbon, Typica, Catuai, Catimor","Suit up for a wild ride! Diesel is our version of “all gas, no brakes”, and is the darkest roast we offer. A blend of coffees from Indonesia, and Central America, it features some intensely smoky notes and a full-bodied mouthfeel.",0
12,Klatch,Colombia Coffee For Peace,17.35,Medium Roast,"Rancho Cucamonga, CA",WashedVarietyCastillo,Castillo,"This Colombian reveals a pleasant aroma of chocolate, lime and herbaceous quality. The first sip has an upfront lime flavor that cools to a clean lemon verbena quality. As the cup cools, this coffee reveals a nectarine flavor. For the aftertaste, there is a slight floral and sugar cane quality. This Washed Processed coffee offers a bright acidity and a smooth mouthfeel.",0
13,Irving Farm,Gotham Blend,17.35,Medium-Dark Roast,"New York, NY","WashedSub RegionAhuachapánProducerThe Salaverria familyElevation1350VarietyBourbon, Catuai","Bourbon, Catuai",This blend is a modern take on a classic french roast. The coffee carries a deep smoky edge balanced with sweetness from perfectly timing the caramelization of the coffee bean’s sugars in the roasting process. ,0
14,Stay Golden,Kovachii,17.35,Medium Roast,"Nashville, TN","WashedSub RegionCajamarcaElevation1,500 - 2,000VarietyVarious",Various,"Kovachii exemplifies the natural flavors of a Northern Peru coffee. Many of these smallholder farmers grow in remote locations, some as far as 8 hours away from the nearest buying station. Olam Specialty Coffee has been working to create micro-buying stations closer to these farmers so they can have more control over final price and selling ability. ",0
15,Broadsheet,Heyilu Butiya,24.75,Light-Medium Roast,"Cambridge, MA",,Heirloom Varietals,"This single farmer lot comes from the Jemijemo village in Yirgacheffe where it is produced by Heyilu Butiya on his 8.5 hectare farm. It is sundried, and processed at the Abebe Muligeta station in Addis Ababa. This late season natural is a satisfyingly sweet cup with a syrupy mouthfeel and a pleasant acidity.",0
16,Stay Golden,Buckle Down,17.35,Medium Roast,"Nashville, TN","WashedSub RegionLas Segovias, CajamarcaElevation1,200VarietyVarious",Various,"This is a Monday sort of coffee - for those days when you just want five more minutes of sleep, but you know you've got to get to it. Buckle Down, dig in and do the work. We're here for ya - we've had those days too. This is a Latin American blend medium roast that will remind you of figs and baking spices. Just keep refilling your cup, that's what it's made for. ",0
17,Panther,Suke Quto,24.75,Light-Medium Roast,"Miami, FL","WashedSub RegionGuji zone, OromiaProducerVarious smallholdersHarvest TimeJan 2020Elevation2,200 - 2,200VarietyIndigenous",Indigenous,"Lemon, Peach, Orange zest, Guava. Silky, Juicy and Floral",0
18,Oren's,Two Bridges,17.35,Light-Medium Roast,"New York, NY","WashedVarietyCaturra, Castillo, and Bourbon","Caturra, Castillo, and Bourbon","The City Blend is our lightest roast. It is blended from two fine varietals - They're not just blend half-and-half. Rather, they're blended in a 70%, 30% proportion.The special proportions of this blend create a surprising complexity to this medium-bodied coffee",0
19,Stay Golden,Paubrasil,17.35,Light-Medium Roast,"Nashville, TN",,Catuai,"Paubrasil is an example of a 100% traceable Brazilian coffee. Each container has a QR code that provides info on the producer and the growing practices. Each contributor signs a statement of good practices, abides by Brazilian labor laws and stores their coffee in certified warehouses. This gives us the peace of mind we need to purchase coffee from Brazil - and these extra steps are not just good, they're necessary.",0
20,Atomic,Black Velvet,17.35,Medium-Dark Roast,"Salem, MA","WashedElevation1000VarietyBourbon, Catimor","Bourbon, Catimor","Smooth as a witch’s cape, and potent as her magic. Black Velvet is a dark roast we developed specifically to hone in on the sugar-browning flavors created through maillard reactions during the roasting process. The result is a coffee that sips dreamy and smooth on your palate. If you want a dark roast that still has a sweet side, this one will cast its spell on you!",0
