,Unnamed: 0,business_id,name,address,postal_code,latitude,longitude,stars,review_count,attributes,categories,hours,business_url,dish_name,dish_cuisine,dish_description,presented_count,left_swipes,right_swipes,user_rating,user_purchase,number_purchased,num_favorited,type_purchases,favorites
0,0,NRPemqVb4qpWFF0Avq_6OQ,Eurasia Sushi Bar & Seafood,"7101 W Hwy 71, Ste C-13",78735,30.2345329,-97.8772622,4.5,395,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}"", 'CoatCheck': 'False', 'GoodForDancing': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2', 'Caters': 'True', 'RestaurantsTableService': 'True', 'RestaurantsReservations': 'True', 'HappyHour': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'WheelchairAccessible': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'DogsAllowed': 'False', 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'HasTV': 'True', 'WiFi': ""u'free'"", 'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'Smoking': ""u'no'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'None', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Bars, Nightlife, Cocktail Bars, Seafood, Restaurants, Sushi Bars","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '16:30-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,984,319,665,0.0,1,611,119,[],[]
1,5,IFB2K3BEZ2L_Mv5AbUD26Q,Chispas,214 W 4th St,78701,30.2669961,-97.7453625,3.5,119,"{'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'False', 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'touristy': None, 'hipster': True, 'romantic': None, 'divey': None, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': None, 'casual': True}"", 'DriveThru': 'False', 'RestaurantsTableService': 'True', 'HasTV': 'True', 'Alcohol': ""u'full_bar'"", 'DogsAllowed': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'HappyHour': 'True', 'RestaurantsPriceRange2': '2'}","Tex-Mex, Mexican, Tacos, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-21:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,29,9,20,0.0,1,10,4,[],[]
2,6,LjQ_z_eYTvbPkdnxD_Ucrw,Zaika Indian Contemporary Cuisine,9025 Research Blvd,78758,30.3729298,-97.7240756,4.0,149,"{'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'WheelchairAccessible': 'True', 'RestaurantsReservations': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': None, 'brunch': None, 'breakfast': None}"", 'HappyHour': 'False', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': None, 'street': None, 'validated': None, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'True'}","Restaurants, Indian","{'Monday': '17:0-21:30', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-21:30'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,721,494,227,0.0,1,202,95,[],[]
3,7,UbP_JuB-zHHfLz2dvKe9yw,Taqueria Peloncitos,5303 Nuckols Crossing Rd,78744,30.1925973,-97.7386784,4.0,12,"{'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'False'}","Restaurants, Food, Food Trucks, Mexican","{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,186,12,174,0.0,1,50,3,[],[]
4,11,T55nNWr06T492oDUh0R8bQ,Cilantro's,1025 W Stassney Ln,78745,30.2100611,-97.7868812,3.5,37,"{'BikeParking': 'False', 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'quiet'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True'}","Restaurants, Mexican",,,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,529,262,267,0.0,1,74,82,[],[]
5,13,_rt-Z934kfFzgG19nTrIcQ,Pelons Tex-Mex,802 Red River St,78701,30.2688384,-97.7365492,3.5,438,"{'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTableService': 'True', 'BusinessAcceptsBitcoin': 'False', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'OutdoorSeating': 'True', 'Smoking': ""u'no'"", 'WheelchairAccessible': 'True', 'CoatCheck': 'False', 'GoodForKids': 'True', 'ByAppointmentOnly': 'False', 'BestNights': ""{'monday': False, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BYOB': 'False', 'Caters': 'True', 'HappyHour': 'True', 'Alcohol': ""u'full_bar'"", 'DogsAllowed': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'Corkage': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsDelivery': 'True'}","Tex-Mex, Restaurants, Tacos, Nightlife, Bars, Mexican","{'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '16:0-22:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,415,144,271,0.0,1,13,24,[],[]
6,16,J8Ha6yIvGoU-E31jnCq7Ew,Barley Swine,"6555 Burnet Rd, Ste 400",78757,30.3412737662,-97.7383886364,4.5,1086,"{'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'False', 'Alcohol': ""u'full_bar'"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}"", 'RestaurantsPriceRange2': '3', 'HasTV': 'False', 'Caters': 'False', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}"", 'HappyHour': 'True', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'GoodForDancing': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'None', 'WheelchairAccessible': 'True', 'Smoking': ""u'no'"", 'CoatCheck': 'True', 'RestaurantsDelivery': 'None', 'OutdoorSeating': 'None'}","Restaurants, Nightlife, American (New), Bars, Gastropubs","{'Monday': '0:0-0:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,201,27,174,0.0,1,43,46,[],[]
7,17,pCg4oRweZQnoXo2j7_-BqQ,Hote1e1even,1123 East 11th St,78702,30.2687289671,-97.7283888839,4.5,13,"{'WiFi': ""'free'"", 'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Restaurants, Cafes, Nightlife, Hotels & Travel, Bars",,,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,457,143,314,0.0,1,273,62,[],[]
8,19,azX1NmrF1GCmXobaMmj3KA,The Butterfly Bar,2307 Manor Rd,78722,30.2837107162,-97.7174360877,4.0,147,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'WiFi': ""'free'"", 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'average'"", 'BestNights': ""{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'RestaurantsReservations': 'False', 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}""}","Wine Bars, Bars, Lounges, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '17:0-22:30', 'Wednesday': '17:0-22:30', 'Thursday': '17:0-22:30', 'Friday': '17:0-22:30', 'Saturday': '17:0-22:30', 'Sunday': '17:0-22:30'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,266,222,44,0.0,1,16,12,[],[]
9,20,6-HTwJDZ6CvqRNA9E-ymYw,Churro,2505 Webberville,78756,30.263075,-97.713718,4.5,8,"{'DogsAllowed': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","Desserts, Ice Cream & Frozen Yogurt, Food, Food Trucks","{'Monday': '0:0-0:0', 'Sunday': '3:0-6:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,141,15,126,0.0,1,44,47,[],[]
